Timestamp,snakes,venom,"region",children,bitten,"response",conservation,own,children_prox
4/23/2023 22:13:15,"12 ",8,"United States (broad)",No,No,"Stay very calm and call 911 for hospital ",No,Mammal,
4/23/2023 22:17:00,0,25,"Australia",No,No,,No,Bird,
4/24/2023 1:36:29,7,0,,No,No,,Yes,None,
4/24/2023 4:16:02,100,2,"Germany",No,No,"YIPEEEE",Yes,Fish,
4/24/2023 13:29:40,100,3,,Yes,No,,Yes,None,
4/24/2023 14:41:02,25,10,"North Texas",No,No,,Yes,Mammal,
4/24/2023 14:43:33,6,3,"North Texas",Yes,No,"Not applicable ",Yes,Mammal,
4/24/2023 14:53:53,20,10,"North Texas",No,Yes,"It was nonvenomous, treated minor wound topically. ",Yes,Mammal,
4/24/2023 14:56:52,10,4,"North Texas",Yes,Yes,"No, it was a pet non-poisonous. Washed the wound really well. ",Yes,Mammal,
4/24/2023 16:16:38,9,4,"Central Texas",Yes,No,,Yes,Mammal,
4/24/2023 18:42:36,20,4,"Austin / Dallas",Yes,No,"N/A",Yes,Mammal,
4/24/2023 18:48:37,20,4,"South Central Texas",No,No,,Yes,Mammal,
4/24/2023 21:07:28,12,2,"North Texas",Yes,No,,Yes,None,Yes
4/24/2023 22:01:23,5,3,"North Texas",No,No,,No,Mammal,No
4/24/2023 22:03:04,8,2,"North Texas",Yes,No,,Yes,Mammal,Yes
4/24/2023 22:04:36,12,2,"Kentucky",Yes,No,,Yes,Mammal,Yes
4/24/2023 22:31:57,20,100,"Florida",Yes,No,,Yes,Rabbit,Yes
4/24/2023 22:35:04,5,10,"Indiana",Yes,No,,Yes,Mammal,Yes
4/24/2023 22:57:59,2,20,"Australia",Yes,No,,Yes,Mammal,No
4/24/2023 23:54:13,5,0,"England ",Yes,No,,Yes,Reptile,Yes